item,label_ja,label_en,altLabel_ja,altLabel_en,instance of
http://www.wikidata.org/entity/Q23462545,,Hypothetical protein DVU2436,[],['DVU2436'],['Q8054']
http://www.wikidata.org/entity/Q23462546,,TRNA delta(2)-isopentenylpyrophosphate transferase DVU1533,[],"['miaA', 'DVU1533']",['Q8054']
http://www.wikidata.org/entity/Q23462549,,Hypothetical protein DVU2998,[],['DVU2998'],['Q8054']
http://www.wikidata.org/entity/Q23462551,,Hypothetical protein DVUA0070,[],['DVUA0070'],['Q8054']
http://www.wikidata.org/entity/Q23462552,,Cytidylate kinase DVU1028,[],"['cmk', 'DVU1028']",['Q8054']
http://www.wikidata.org/entity/Q23462553,,Killer protein DVU1729,[],['DVU1729'],['Q8054']
http://www.wikidata.org/entity/Q23462554,,Hypothetical protein DVU0634,[],['DVU0634'],['Q8054']
http://www.wikidata.org/entity/Q23462555,,Phosphoribosylformylglycinamidine synthase I DVU1622,[],"['purQ', 'DVU1622']",['Q8054']
http://www.wikidata.org/entity/Q23462556,,Hypothetical protein DVU3266,[],['DVU3266'],['Q8054']
http://www.wikidata.org/entity/Q23462557,,Hypothetical protein DVU3213,[],['DVU3213'],['Q8054']
http://www.wikidata.org/entity/Q23462560,,Tetraacyldisaccharide 4'-kinase DVU2468,[],"['lpxK', 'DVU2468']",['Q8054']
http://www.wikidata.org/entity/Q23462561,,"Fructose-1,6-bisphosphatase DVU1841",[],"['fbp', 'DVU1841']",['Q8054']
http://www.wikidata.org/entity/Q23462562,,Methionine sulfoxide reductase B DVU0576,[],"['DVU0576', 'msrB']",['Q8054']
http://www.wikidata.org/entity/Q23462564,,Hypothetical protein DVUA0147,[],['DVUA0147'],['Q8054']
http://www.wikidata.org/entity/Q23462565,,Hypothetical protein DVU0820,[],['DVU0820'],['Q8054']
http://www.wikidata.org/entity/Q23462566,,ParA family protein DVU2075,[],['DVU2075'],['Q8054']
http://www.wikidata.org/entity/Q23462567,,Peptide chain release factor 3 DVU3116,[],"['prfC', 'DVU3116']",['Q8054']
http://www.wikidata.org/entity/Q23462568,,Terminase large subunit DVU1503,[],['DVU1503'],['Q8054']
http://www.wikidata.org/entity/Q23462569,,Hypothetical protein DVU3387,[],['DVU3387'],['Q8054']
http://www.wikidata.org/entity/Q23462571,,Hypothetical protein DVU0671,[],['DVU0671'],['Q8054']
http://www.wikidata.org/entity/Q23462572,,Hypothetical protein DVU1166,[],['DVU1166'],['Q8054']
http://www.wikidata.org/entity/Q23462573,,Hypothetical protein DVU2253,[],['DVU2253'],['Q8054']
http://www.wikidata.org/entity/Q23462574,,Hypothetical protein DVU2151,[],['DVU2151'],['Q8054']
http://www.wikidata.org/entity/Q23462575,,Hypothetical protein DVU2419,[],['DVU2419'],['Q8054']
http://www.wikidata.org/entity/Q23462577,,Argininosuccinate synthase DVU1095,[],"['DVU1095', 'argG']",['Q8054']
http://www.wikidata.org/entity/Q23462578,,Hypothetical protein DVU0739,[],['DVU0739'],['Q8054']
http://www.wikidata.org/entity/Q23462579,,Hypothetical protein DVU2173,[],['DVU2173'],['Q8054']
http://www.wikidata.org/entity/Q23462582,,Sensory box histidine kinase DVU2412,[],['DVU2412'],['Q8054']
