item,label_ja,label_en,altLabel_ja,altLabel_en,instance of
http://www.wikidata.org/entity/Q1000726,ネイティブの強度,native starch,['ネイティブ強度'],[],[]
http://www.wikidata.org/entity/Q100347932,,CYP11,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100347974,,CYP6,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100348014,,CYP16,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100348021,,CYP9,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100348032,,CYP18,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100348054,,CYP10,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100348078,,CYP74,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100385591,,CYP12,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100385624,,CYP14,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100385642,,CYP15,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100385667,,CYP13,[],[],['Q84467700']
http://www.wikidata.org/entity/Q100431338,,CD56 antigen,[],['CD56 antigens'],[]
http://www.wikidata.org/entity/Q100598278,,"cyclic nucleotide phosphodiesterases, type 1",[],"['cyclic nucleotide phosphodiesterase, type 1']",['Q67015883']
http://www.wikidata.org/entity/Q100776635,,Amphitropic proteins,[],[],[]
http://www.wikidata.org/entity/Q100940383,,fluorescently tagged antibody,[],[],[]
http://www.wikidata.org/entity/Q100942238,,human isophane insulin,[],"['Isophane Insulin, Human']",[]
http://www.wikidata.org/entity/Q100975544,,Methylenetetrahydrofolate Dehydrogenase (NADP),[],[],['Q8047']
http://www.wikidata.org/entity/Q100989645,,lipoxygenase,[],[],[]
http://www.wikidata.org/entity/Q100989676,,CELF proteins,[],['CELF protein'],['Q417841']
http://www.wikidata.org/entity/Q100994454,,coagulation factor XIIa,[],['factor XIIa'],[]
http://www.wikidata.org/entity/Q101002921,,prolyl hydroxylases,[],['prolyl hydroxylase'],[]
http://www.wikidata.org/entity/Q101003140,,ribonucleoside diphosphate reductases,[],['ribonucleoside diphosphate reductase'],[]
http://www.wikidata.org/entity/Q101004242,,proton-translocating ATPases,[],['proton-translocating ATPase'],[]
http://www.wikidata.org/entity/Q101004908,,phospholipases A,[],['phospholipase A'],[]
http://www.wikidata.org/entity/Q101005103,,ectodysplasin receptors,[],"['Receptors, Ectodysplasin', 'ectodysplasin receptor']",[]
http://www.wikidata.org/entity/Q101007225,,long-chain-3-aydroxyacyl-CoA dehydrogenase,[],[],[]
http://www.wikidata.org/entity/Q101011460,,recombinant antigen,[],['genetically engineered antigen'],[]
http://www.wikidata.org/entity/Q1010629,プリン受容体,purinergic receptors,[],"['purine receptor', 'purinoceptor', 'Receptors, Purinergic', 'purinergic receptor']",['Q84467700']
http://www.wikidata.org/entity/Q101069161,,precursor RNA,[],[],[]
http://www.wikidata.org/entity/Q101087595,,steroid 5-alpha-reductase,[],"['5α-reductase', 'steroid 5α-reductase', '5-α-reductase', '5alpha-reductase']",['Q67015883']
http://www.wikidata.org/entity/Q101126626,,"SNHG1, transcript variant 1",[],[],['Q427087']
http://www.wikidata.org/entity/Q101192093,,phospho-SUMO1-K62-ADPr-p-S177-Ncap [endoplasmic reticulum-Golgi intermediate compartment membrane],[],[],[]
http://www.wikidata.org/entity/Q101192095,,fully glycosylated Spike [virion membrane],[],[],[]
http://www.wikidata.org/entity/Q101192103,,phospho-SUMO1-K62-ADPr-p-S177-Ncap [cytosol],[],[],[]
http://www.wikidata.org/entity/Q101192105,,complex N-glycan-PALM-Spike S1 Fragment [endocytic vesicle membrane],[],[],[]
http://www.wikidata.org/entity/Q101192107,,complex N-glycan-PALM-Spike S2 Fragment [endocytic vesicle membrane],[],[],[]
http://www.wikidata.org/entity/Q101192113,,complex N-glycan-PALM-Spike S1 Fragment [virion membrane],[],[],[]
http://www.wikidata.org/entity/Q101192116,,complex N-glycan-PALM-Spike S2 Fragment [virion membrane],[],[],[]
http://www.wikidata.org/entity/Q101192121,,N-glycan pp1ab-nsp3-4 [endoplasmic reticulum membrane],[],[],[]
http://www.wikidata.org/entity/Q101192124,,N-glycan pp1ab-nsp3 [endoplasmic reticulum membrane],[],[],[]
http://www.wikidata.org/entity/Q101192128,,N-glycan pp1ab-nsp4 [endoplasmic reticulum membrane],[],[],[]
http://www.wikidata.org/entity/Q101192131,,pp1ab-nsp3 [double membrane vesicle viral factory outer membrane],[],[],[]
